run,n,jain,gini,p5,source
iql,60,0.9843610938707829,0.0711325147187305,0.6420058836052333,seed_123\per_agent.csv
iql\seed_123,60,0.9843610938707829,0.0711325147187305,0.6420058836052333,per_agent.csv
iql\seed_2025,60,0.9857446381475932,0.06847992260271574,0.636867715741579,per_agent.csv
iql\seed_42,60,0.9851816638903551,0.06930704639915142,0.6703099422772282,per_agent.csv
iql\seed_7,60,0.9876277914225344,0.06300850733038077,0.6772847085773406,per_agent.csv
iql\seed_99,60,0.986979630241891,0.06533718361279117,0.6632004390834763,per_agent.csv
pf,60,0.9589699960561566,0.11657882235118255,0.32900588360523325,seed_123\per_agent.csv
pf\seed_123,60,0.9589699960561566,0.11657882235118255,0.32900588360523325,per_agent.csv
pf\seed_2025,60,0.9589509784140516,0.11601730303265545,0.32386771574157897,per_agent.csv
pf\seed_42,60,0.9572676002288992,0.11749504989757642,0.35730994227722823,per_agent.csv
pf\seed_7,60,0.9674536653925949,0.10322748528091297,0.3642847085773405,per_agent.csv
pf\seed_99,60,0.9664853557160834,0.10584951901593254,0.35020043908347637,per_agent.csv
qmix,60,0.987359201681422,0.06347398712338093,0.6990058836052333,seed_123\per_agent.csv
qmix\seed_123,60,0.987359201681422,0.06347398712338093,0.6990058836052333,per_agent.csv
qmix\seed_2025,60,0.9884855411640701,0.06167202968559504,0.693867715741579,per_agent.csv
qmix\seed_42,60,0.9890482712844876,0.059951132222530124,0.7273099422772282,per_agent.csv
qmix\seed_7,60,0.9897388470059304,0.05740872967275368,0.7342847085773405,per_agent.csv
qmix\seed_99,60,0.9898863492054425,0.057281803817185395,0.7202004390834763,per_agent.csv
vdn,60,0.9832501120624003,0.07361467612214723,0.6210058836052333,seed_123\per_agent.csv
vdn\seed_123,60,0.9832501120624003,0.07361467612214723,0.6210058836052333,per_agent.csv
vdn\seed_2025,60,0.9847433270809453,0.07074909064800572,0.6158677157415791,per_agent.csv
vdn\seed_42,60,0.9840396194770964,0.07182383486884336,0.6493099422772283,per_agent.csv
vdn\seed_7,60,0.9869329406020919,0.06475965145126628,0.6562847085773407,per_agent.csv
vdn\seed_99,60,0.9861004796794173,0.06748520043699502,0.6422004390834763,per_agent.csv
