run,n,jain,gini,p5,source
care_abundance,60,0.8380460549928812,0.24924422792080803,0.05500588360523326,seed_123\per_agent.csv
care_abundance\seed_123,60,0.8380460549928812,0.24924422792080803,0.05500588360523326,per_agent.csv
care_abundance\seed_2025,60,0.814934957612974,0.2672208157382774,0.04986771574157895,per_agent.csv
care_abundance\seed_42,60,0.815606741099171,0.2644800231805915,0.08330994227722811,per_agent.csv
care_abundance\seed_7,60,0.8616535791107258,0.227993882035449,0.09028470857734046,per_agent.csv
care_abundance\seed_99,60,0.8625864846065093,0.2268728993731588,0.07620043908347636,per_agent.csv
care_balance,60,0.8380460549928812,0.24924422792080803,0.05500588360523326,seed_123\per_agent.csv
care_balance\seed_123,60,0.8380460549928812,0.24924422792080803,0.05500588360523326,per_agent.csv
care_balance\seed_2025,60,0.814934957612974,0.2672208157382774,0.04986771574157895,per_agent.csv
care_balance\seed_42,60,0.815606741099171,0.2644800231805915,0.08330994227722811,per_agent.csv
care_balance\seed_7,60,0.8616535791107258,0.227993882035449,0.09028470857734046,per_agent.csv
care_balance\seed_99,60,0.8625864846065093,0.2268728993731588,0.07620043908347636,per_agent.csv
