metric,A,B,nA,nB,A_mean,B_mean,cliffs_delta,boot_CI_lo,boot_CI_hi,p_raw,test,p_holm
fairness,care_abundance,care_balance,5,5,0.6497801016397479,0.6497801016397479,0.0,-0.0008785915984217407,0.0008737649637975409,1.0,MWU,1.0
fairness,care_abundance,iql,5,5,0.6497801016397479,0.5254117683064145,1.0,0.12348974173491145,0.12524209829713084,0.007936507936507936,MWU,0.11904761904761904
fairness,care_abundance,pf,5,5,0.6497801016397479,0.6129951016397477,1.0,0.03590640840157833,0.03765876496379783,0.007936507936507936,MWU,0.11904761904761904
fairness,care_abundance,qmix,5,5,0.6497801016397479,0.5692034349730811,1.0,0.07969807506824478,0.08145043163046428,0.007936507936507936,MWU,0.11904761904761904
fairness,care_abundance,vdn,5,5,0.6497801016397479,0.5359217683064145,1.0,0.11297974173491143,0.11473209829713082,0.007936507936507936,MWU,0.11904761904761904
fairness,care_balance,iql,5,5,0.6497801016397479,0.5254117683064145,1.0,0.12348974173491145,0.12524209829713084,0.007936507936507936,MWU,0.11904761904761904
fairness,care_balance,pf,5,5,0.6497801016397479,0.6129951016397477,1.0,0.03590640840157833,0.03765876496379783,0.007936507936507936,MWU,0.11904761904761904
fairness,care_balance,qmix,5,5,0.6497801016397479,0.5692034349730811,1.0,0.07969807506824478,0.08145043163046428,0.007936507936507936,MWU,0.11904761904761904
fairness,care_balance,vdn,5,5,0.6497801016397479,0.5359217683064145,1.0,0.11297974173491143,0.11473209829713082,0.007936507936507936,MWU,0.11904761904761904
fairness,iql,pf,5,5,0.5254117683064145,0.6129951016397477,-1.0,-0.0884619249317552,-0.08670956836953536,0.007936507936507936,MWU,0.11904761904761904
fairness,iql,qmix,5,5,0.5254117683064145,0.5692034349730811,-1.0,-0.044670258265088636,-0.04291790170286891,0.007936507936507936,MWU,0.11904761904761904
fairness,iql,vdn,5,5,0.5254117683064145,0.5359217683064145,-1.0,-0.011388591598421982,-0.009636235036202478,0.007936507936507936,MWU,0.11904761904761904
fairness,pf,qmix,5,5,0.6129951016397477,0.5692034349730811,1.0,0.04291307506824438,0.0446654316304641,0.007936507936507936,MWU,0.11904761904761904
fairness,pf,vdn,5,5,0.6129951016397477,0.5359217683064145,1.0,0.07619474173491092,0.07794709829713065,0.007936507936507936,MWU,0.11904761904761904
fairness,qmix,vdn,5,5,0.5692034349730811,0.5359217683064145,1.0,0.03240307506824447,0.034155431630464195,0.007936507936507936,MWU,0.11904761904761904
